Name,lat,lon,api
Tendik zh/m,42.947389,74.586554,https://api.waqi.info/feed/A398077/?token=85f56674e2fcf4355cf0da22c00f7492a91bf001
Dordoi zh/m,42.938226,74.628806,https://api.waqi.info/feed/A399370/?token=85f56674e2fcf4355cf0da22c00f7492a91bf001
Krasniy Stroitel,42.933681,74.59421,https://api.waqi.info/feed/A398755/?token=85f56674e2fcf4355cf0da22c00f7492a91bf001
Dordoi rynok,42.929048,74.611081,https://api.waqi.info/feed/A193717/?token=85f56674e2fcf4355cf0da22c00f7492a91bf001
Maevka,42.924506,74.569831,https://api.waqi.info/feed/A399679/?token=85f56674e2fcf4355cf0da22c00f7492a91bf001
Kolmo zhm,42.903884,74.563961,https://api.waqi.info/feed/A399697/?token=85f56674e2fcf4355cf0da22c00f7492a91bf001
AkTilek zm,42.907008,74.598186,https://api.waqi.info/feed/A397954/?token=85f56674e2fcf4355cf0da22c00f7492a91bf001
Karagachevaya rosha,42.904717,74.617634,https://api.waqi.info/feed/A399496/?token=85f56674e2fcf4355cf0da22c00f7492a91bf001
Alamudun selo,42.907239,74.639377,https://api.waqi.info/feed/A398131/?token=85f56674e2fcf4355cf0da22c00f7492a91bf001
Bakay_Ata zhm,42.899404,74.64459,https://api.waqi.info/feed/A398323/?token=85f56674e2fcf4355cf0da22c00f7492a91bf001
Togolok_Moldo ul,42.895766,74.611331,https://api.waqi.info/feed/A372211/?token=85f56674e2fcf4355cf0da22c00f7492a91bf001
Fuchika ul,42.885001,74.55453,https://api.waqi.info/feed/A398491/?token=85f56674e2fcf4355cf0da22c00f7492a91bf001
Oshskiy rynok,42.873414,74.542781,https://api.waqi.info/feed/A398350/?token=85f56674e2fcf4355cf0da22c00f7492a91bf001
MCHS KR,42.882901,74.591603,https://api.waqi.info/feed/A398347/?token=85f56674e2fcf4355cf0da22c00f7492a91bf001
Alamudun rynok,42.884589,74.61639,https://api.waqi.info/feed/A398509/?token=85f56674e2fcf4355cf0da22c00f7492a91bf001
PNZ no 3,42.884063,74.646783,https://api.waqi.info/feed/A398485/?token=85f56674e2fcf4355cf0da22c00f7492a91bf001
Novopokrovka 5,42.87531,74.772139,https://api.waqi.info/feed/A399295/?token=85f56674e2fcf4355cf0da22c00f7492a91bf001
Lebedinovka s,42.885999,74.678094,https://api.waqi.info/feed/A398866/?token=85f56674e2fcf4355cf0da22c00f7492a91bf001
Udmurtskaya TEZ,42.875204,74.654176,https://api.waqi.info/feed/A399493/?token=85f56674e2fcf4355cf0da22c00f7492a91bf001
Min Ekonomiki,42.874648,74.609,https://api.waqi.info/feed/A399040/?token=85f56674e2fcf4355cf0da22c00f7492a91bf001
pr Manasa Moskovskaya,42.87029,74.587774,https://api.waqi.info/feed/A399124/?token=85f56674e2fcf4355cf0da22c00f7492a91bf001
Kyzyl Asker zm,42.873519,74.542595,https://api.waqi.info/feed/A399001/?token=85f56674e2fcf4355cf0da22c00f7492a91bf001
Kasym zhm,42.881178,74.524977,https://api.waqi.info/feed/A399289/?token=85f56674e2fcf4355cf0da22c00f7492a91bf001
Novopavlovka 1,42.878074,74.486416,https://api.waqi.info/feed/A398425/?token=85f56674e2fcf4355cf0da22c00f7492a91bf001
Voyenno Antonovka s,42.873216,74.448535,https://api.waqi.info/feed/A399538/?token=85f56674e2fcf4355cf0da22c00f7492a91bf001
Ala-Too zhm,42.862223,74.477652,https://api.waqi.info/feed/A398539/?token=85f56674e2fcf4355cf0da22c00f7492a91bf001
AkOrdo shkola 96,42.851397,74.504878,https://api.waqi.info/feed/A398134/?token=85f56674e2fcf4355cf0da22c00f7492a91bf001
AkOrdo zhilmassiv,42.834385,74.497859,https://api.waqi.info/feed/A398326/?token=85f56674e2fcf4355cf0da22c00f7492a91bf001
AkOrgo zhm 1,42.840424,74.518865,https://api.waqi.info/feed/A399616/?token=85f56674e2fcf4355cf0da22c00f7492a91bf001
ArchaBeshik s,42.831743,74.549151,https://api.waqi.info/feed/A398662/?token=85f56674e2fcf4355cf0da22c00f7492a91bf001
ChonAryk s,42.795411,74.574871,https://api.waqi.info/feed/A399211/?token=85f56674e2fcf4355cf0da22c00f7492a91bf001
OrtoSay s,42.803591,74.591221,https://api.waqi.info/feed/A398428/?token=85f56674e2fcf4355cf0da22c00f7492a91bf001
12 mikrorayon,42.81164,74.640521,https://api.waqi.info/feed/A398677/?token=85f56674e2fcf4355cf0da22c00f7492a91bf001
park Yntymak,42.827639,74.581151,https://api.waqi.info/feed/A397942/?token=85f56674e2fcf4355cf0da22c00f7492a91bf001
Ataturk park,42.841,74.595082,https://api.waqi.info/feed/A398122/?token=85f56674e2fcf4355cf0da22c00f7492a91bf001
KGAFKIS institut,42.845053,74.615654,https://api.waqi.info/feed/A398089/?token=85f56674e2fcf4355cf0da22c00f7492a91bf001
Rabochii gorodok,42.85197,74.560046,https://api.waqi.info/feed/A398329/?token=85f56674e2fcf4355cf0da22c00f7492a91bf001
KokJar zhm,42.84577,74.637417,https://api.waqi.info/feed/A399619/?token=85f56674e2fcf4355cf0da22c00f7492a91bf001
Altyn Ordo zhm,42.853466,74.669627,https://api.waqi.info/feed/A399454/?token=85f56674e2fcf4355cf0da22c00f7492a91bf001
